Name,Latitude,Longitude,City
2 Minutes,48.8502056,2.3698033,Paris
Awdio,48.887534,2.356288,Paris
BetKlub,48.8787606,2.3639174,Paris
Citizenside,48.8926988,2.3179601,Paris
Kewego,46.227638,2.213749,Paris
Mediastroika,48.8557544,2.3808328,Paris
Owlient,48.8308091,2.3032201,Paris
Preview Networks,55.6659813,12.5800751,Paris
Vibeex,48.8566667,2.3509871,Paris
Wevod,48.846726,2.321213,Paris
Wevod,48.846726,2.321213,Paris
YOOWALK,48.8475487,2.2992348,Paris
deltatre,45.058576,7.649614,Paris
Cyloop,25.787252,-80.13183,Madrid
Cyloop,40.5288449,-3.6429907,Madrid
Cyloop,33.918589,-118.393719,Madrid
Entropy Computational Services,40.4380872,-3.6760635,Madrid
Undead Code Studios,40.6367104,-3.9980485,Madrid
Virgin Play,40.4273082,-3.6895115,Madrid
eRepublik,40.43094,-3.6952896,Madrid
Away,37.9815443,23.7569904,Athens
My TV Shows,38.7523672,-9.1462209,Lisboa
Fotohoo,40.756054,-73.986951,Barcelona
Fotohoo,41.387917,2.1699187,Barcelona
Tengaged,41.4241228,2.1634249,Barcelona
Wuapi,41.387917,2.169919,Barcelona
