Name,Latitude,Longitude
Santiago Bernabéu Stadium (Estadio Santiago Bernabéu),40.453026,-3.688322
Palacio de Deportes de la Comunidad de Madrid (Wizink Center),40.42391,-3.671763
Estadio Wanda Metropolitano,40.436206,-3.599501
Palco de Honor,40.453372,-3.688411
Vestuario Real Madrid,40.453025,-3.68811
Estadio de Vallecas,40.391834,-3.658721
Players Tunnel,40.45313,-3.68786
Estadio Municipal de Butarque,40.340386,-3.760622
Club de Pádel y Tenis Fuencarral,40.502423,-3.707415
La Caja Mágica,40.366489,-3.687457
Planet Padel Indoor,40.452527,-3.483384
Campos de Futbol Fuentelucha,40.550183,-3.658614
Network Padel,40.454819,-3.46802
Centro Deportivo Municipal Santa Ana,40.49778,-3.694044
Coliseum Alfonso Pérez,40.32573,-3.714935
Campo de Rugby Puerta de Hierro,40.462301,-3.748858
Padel Sport Home,40.596702,-3.523787
Estadio Antiguo Canódromo,40.397437,-3.735642
Polideportivo el Carrascal Pabellón Europa,40.332473,-3.745591
Vip Area Champions League,40.453227,-3.688688
Palacio Vistalegre,40.386257,-3.73901
CD San Roque,40.467535,-3.595061
Madrid Arena,40.413185,-3.737794
Estadio Román Valero,40.388474,-3.705205
Corbacho Tenis,40.406525,-3.724734
Santiago Bernabeo,40.41678,-3.70379
Real Federacion Española de Hockey,40.413715,-3.719987
Santiago Bernabéu,40.413371,-3.692157
Club de Esgrima Cardenal Cisneros,40.423768,-3.70874
Estadio Alfredo Di Stéfano,40.47635,-3.614373
El estado mental,40.423138,-3.692819
Pabellón Salesianos San Miguel Da Bosco,40.410079,-3.737948
Pabellón Satélite,40.413763,-3.737977
Campo de las Adelfas,40.403223,-3.668915
Pista 4,40.370491,-3.685705
Pista 5,40.369569,-3.684477
Club de Tenis Coslada,40.434024,-3.540581
Campo de Rugby el Cantizal,40.438976,-3.707437
Módulo CSD,40.434143,-3.735791
Estadio Nacional Universidad Complutense,40.436645,-3.732078
Complejo Deportivo Zona Sur,40.438003,-3.729208
Centro Deportivo Municipal la Elipa,40.413939,-3.654216
Instalación Deportiva Municipal Gimnasio Moscardó,40.437961,-3.674548
Centro Deportivo Municipal Villaverde,40.356593,-3.686316
Industrias del Cuarzo,40.443536,-3.678245
Polideportivo Fernando Martín,40.28251,-3.800577
Complejo Deportivo Zona Norte,40.450763,-3.729195
Pistas de Padel polideportivo Concepcion,40.438825,-3.647406
Frontón de San Cristóbal,40.339853,-3.69072
Vita 10 Escuela de Padel,40.412903,-3.791583
Madrid Río,40.396744,-3.712842
Parque del Retiro,40.414494,-3.68332
Madrid Río,40.394509,-3.702607
Madrid Río,40.39104,-3.70091
Madrid Río,40.407368,-3.723195
Jardines de las Vistillas,40.412399,-3.714493
Parque de Enrique Tierno Galván,40.391459,-3.680685
Parque de la Montaña,40.423559,-3.717628
Rosaleda del parque del Oeste,40.427961,-3.721874
Jardines de la Virgen del Puerto,40.41643,-3.721523
Casa de Campo,40.422383,-3.740673
Parque Lineal del Manzanares,40.337916,-3.689088
Pradera de San Isidro,40.399038,-3.724606
Parque de las Siete Tetas,40.397525,-3.655556
Madrid Río - Salón de Pinos,40.400449,-3.722664
Dehesa de la Villa,40.45817,-3.720712
Parque de la Quinta de la Fuente del Berro,40.424097,-3.661564
Parque de la Arganzuela,40.398362,-3.707546
Parque de Santander,40.441815,-3.70656
Parque de Berlín,40.450426,-3.675721
Puerta de Madrid de los Jardines del Buen Retiro,40.420795,-3.681858
Jardines de el Buen Retiro,40.419537,-3.687677
Cuesta de Moyano,40.409577,-3.691493
Puerta de Murillo de los Jardines del Buen Retiro,40.412829,-3.688602
Parque de Madrid,40.416668,-3.688675
Parque Quinta de los Molinos,40.443433,-3.627907
Parque de Atracciones de Madrid,40.411111,-3.749642
Parque Juan Pablo II,40.455077,-3.626201
Parque Juan Carlos I,40.460809,-3.605833
Parque Madrid Río,40.420474,-3.70466
Parque de Roma,40.416427,-3.662581
Parque Forestal Fuente Carrantona,40.410584,-3.628595
Puerta de España de los Jardines del Buen Retiro,40.416709,-3.688624
Recinto Ferial Casa de Campo,40.408497,-3.744462
Parque de Atenas,40.414194,-3.718713
Parque de Valdebernardo,40.398065,-3.6069
Parque Emperatriz María de Austria,40.377936,-3.721962
Parque el Paraiso,40.430616,-3.621798
Parque forestal de Valdebebas,40.494443,-3.617213
Fuente de Apolo (Madrid),40.417102,-3.693909
Parque de Santa María,40.47854,-3.647727
Parque Juan Carlos I,40.243357,-3.696003
Parque de la Bombilla,40.431408,-3.730096
Dehesa de Navalcarbón,40.510202,-3.886376
Jardín de la Vega,40.536119,-3.632074
Parque Central,40.607803,-3.708941
Parque de Pradolongo,40.375005,-3.707662
Parque de Calero,40.437174,-3.651221
Clinica Parque de las Avenidas,40.442575,-3.663412
Parque Natural el Soto,40.326968,-3.898524

